zone,date,description,score_key,value
boston-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoN_fareN,161676.56
boston-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoN_fareN,160461.77
boston-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoN_fareN,186061.05
boston-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoN_fareN,191852.17
boston-msa,2022-03-27,pop_hispanic,C000_P_c45_AM_autoN_fareN,177813.58
boston-msa,2022-08-07,pop_hispanic,C000_P_c45_AM_autoN_fareN,168054.34
boston-msa,2020-02-23,pop_poverty,C000_P_c45_AM_autoN_fareN,169613.3
boston-msa,2020-03-15,pop_poverty,C000_P_c45_AM_autoN_fareN,166466.19
boston-msa,2020-04-19,pop_poverty,C000_P_c45_AM_autoN_fareN,180905.44
boston-msa,2020-05-10,pop_poverty,C000_P_c45_AM_autoN_fareN,182868.47
boston-msa,2020-06-21,pop_poverty,C000_P_c45_AM_autoN_fareN,184759.33
boston-msa,2020-07-19,pop_poverty,C000_P_c45_AM_autoN_fareN,185186.84
boston-msa,2020-08-16,pop_poverty,C000_P_c45_AM_autoN_fareN,183081.2
boston-msa,2020-09-20,pop_poverty,C000_P_c45_AM_autoN_fareN,166071.38
boston-msa,2020-10-18,pop_poverty,C000_P_c45_AM_autoN_fareN,168780.2
boston-msa,2020-11-15,pop_poverty,C000_P_c45_AM_autoN_fareN,169387.58
boston-msa,2020-12-20,pop_poverty,C000_P_c45_AM_autoN_fareN,177387.33
boston-msa,2021-01-17,pop_poverty,C000_P_c45_AM_autoN_fareN,175985.94
boston-msa,2021-02-21,pop_poverty,C000_P_c45_AM_autoN_fareN,174931.66
boston-msa,2021-07-11,pop_poverty,C000_P_c45_AM_autoN_fareN,195272.61
boston-msa,2021-09-12,pop_poverty,C000_P_c45_AM_autoN_fareN,203393.67
boston-msa,2022-03-27,pop_poverty,C000_P_c45_AM_autoN_fareN,190675.38
boston-msa,2022-08-07,pop_poverty,C000_P_c45_AM_autoN_fareN,182003.08
boston-msa,2020-02-23,pop_total,C000_P_c45_AM_autoN_fareN,103352.62
boston-msa,2020-03-15,pop_total,C000_P_c45_AM_autoN_fareN,100591.98
boston-msa,2020-04-19,pop_total,C000_P_c45_AM_autoN_fareN,108817.17
boston-msa,2020-05-10,pop_total,C000_P_c45_AM_autoN_fareN,111494.89
boston-msa,2020-06-21,pop_total,C000_P_c45_AM_autoN_fareN,110994.03
boston-msa,2020-07-19,pop_total,C000_P_c45_AM_autoN_fareN,109567.88
boston-msa,2020-08-16,pop_total,C000_P_c45_AM_autoN_fareN,109239.516
boston-msa,2020-09-20,pop_total,C000_P_c45_AM_autoN_fareN,100442.53
boston-msa,2020-10-18,pop_total,C000_P_c45_AM_autoN_fareN,102388.85
boston-msa,2020-11-15,pop_total,C000_P_c45_AM_autoN_fareN,102117.63
boston-msa,2020-12-20,pop_total,C000_P_c45_AM_autoN_fareN,109593.25
boston-msa,2021-01-17,pop_total,C000_P_c45_AM_autoN_fareN,108733.53
boston-msa,2021-02-21,pop_total,C000_P_c45_AM_autoN_fareN,108015.75
boston-msa,2021-07-11,pop_total,C000_P_c45_AM_autoN_fareN,118111.6
boston-msa,2021-09-12,pop_total,C000_P_c45_AM_autoN_fareN,123413.44
boston-msa,2022-03-27,pop_total,C000_P_c45_AM_autoN_fareN,116942.94
boston-msa,2022-08-07,pop_total,C000_P_c45_AM_autoN_fareN,110514.99
boston-msa,2020-02-23,pop_white,C000_P_c45_AM_autoN_fareN,81981.18
boston-msa,2020-03-15,pop_white,C000_P_c45_AM_autoN_fareN,79067.66
boston-msa,2020-04-19,pop_white,C000_P_c45_AM_autoN_fareN,84643.51
boston-msa,2020-05-10,pop_white,C000_P_c45_AM_autoN_fareN,87225.19
boston-msa,2020-06-21,pop_white,C000_P_c45_AM_autoN_fareN,85665.33
boston-msa,2020-07-19,pop_white,C000_P_c45_AM_autoN_fareN,83719.195
boston-msa,2020-08-16,pop_white,C000_P_c45_AM_autoN_fareN,84553.125
boston-msa,2020-09-20,pop_white,C000_P_c45_AM_autoN_fareN,78952.96
boston-msa,2020-10-18,pop_white,C000_P_c45_AM_autoN_fareN,80537.414
