Calendar_Year,Calendar_Month,Mode,Average_Daily_Ridership,Source,ObjectId
2020,11,Bus,193063,Revenue_Estimate,133
2020,11,CCT,2004,Revenue,134
2020,11,Heavy Rail,88690,Revenue,135
2020,11,Regional Rail,23836,Revenue,136
2020,11,Trackless Trolley,6557,Revenue,137
2020,11,Trolley,22903,Revenue_Estimate,138
2020,12,Bus,200729,Revenue_Estimate,139
2020,12,CCT,1314,Revenue,140
2020,12,Heavy Rail,92190,Revenue,141
2020,12,Regional Rail,23381,Revenue,142
2020,12,Trackless Trolley,6898,Revenue,143
2020,12,Trolley,24671,Revenue_Estimate,144
2021,1,Bus,184766,APC,145
2021,1,CCT,1381,Revenue,146
2021,1,Heavy Rail,88543,Revenue,147
2021,1,Regional Rail,24283,Revenue,148
2021,1,Trackless Trolley,6420,Revenue,149
2021,1,Trolley,24608,Revenue_Estimate,150
2021,2,Bus,184944,APC,151
2021,2,CCT,1399,Revenue,152
2021,2,Heavy Rail,84876,Revenue,153
2021,2,Regional Rail,15466,Revenue,154
2021,2,Trackless Trolley,5770,Revenue,155
2021,2,Trolley,24824,Revenue_Estimate,156
2021,3,Bus,208266,APC,157
2021,3,CCT,2082,Revenue,158
2021,3,Heavy Rail,94351,Revenue,159
2021,3,Regional Rail,21225,Revenue,160
2021,3,Trackless Trolley,6554,Revenue,161
2021,3,Trolley,25485,Revenue_Estimate,162
2021,4,Bus,209824,APC,163
2021,4,CCT,1833,Revenue,164
2021,4,Heavy Rail,104843,Revenue,165
2021,4,Regional Rail,21312,Revenue,166
2021,4,Trackless Trolley,7173,Revenue,167
2021,4,Trolley,27140,Revenue_Estimate,168
2021,5,Bus,216243,APC,169
2021,5,CCT,3158,Revenue,170
2021,5,Heavy Rail,109747,Revenue,171
2022,12,Regional Rail,60226,Revenue,172
2022,12,Trackless Trolley,8929,Revenue,173
2022,12,Trolley,37275,Revenue_Estimate,174
2023,1,Bus,319605,APC,175
2023,1,CCT,2834,Revenue,176
2023,1,Heavy Rail,142909,Revenue,177
2023,1,Regional Rail,62311,Revenue,178
2023,1,Trackless Trolley,8696,Revenue,179
2023,1,Trolley,39738,Revenue_Estimate,180
2023,2,Bus,342049,APC,181
2023,2,CCT,2882,Revenue,182
2023,2,Heavy Rail,144909,Revenue,183
2023,2,Regional Rail,64720,Revenue,184
2023,2,Trackless Trolley,8595,Revenue,185
2023,2,Trolley,44706,Revenue_Estimate,186
2023,3,Bus,341407,APC,187
2023,3,CCT,2982,Revenue,188
2023,3,Heavy Rail,137699,Revenue,189
2023,3,Regional Rail,66514,Revenue,190
2023,3,Trackless Trolley,8610,Revenue,191
2023,3,Trolley,39744,Revenue_Estimate,192
2023,4,Bus,336495,APC,193
2023,4,CCT,2952,Revenue,194
2023,4,Heavy Rail,138287,Revenue,195
2023,4,Regional Rail,66900,Revenue,196
2023,4,Trackless Trolley,8365,Revenue,197
2023,4,Trolley,38427,Revenue_Estimate,198
2023,5,Bus,359462,APC,199
2023,5,CCT,2985,Revenue,200
2023,5,Heavy Rail,143856,Revenue,201
2023,5,Regional Rail,65979,Revenue,202
2023,5,Trackless Trolley,8803,Revenue,203
2023,5,Trolley,47563,APC,204
2023,6,Bus,302745,APC,205
2023,6,CCT,2981,Revenue,206
2023,6,Heavy Rail,134429,Revenue,207
2023,6,Regional Rail,66067,Revenue,208
2023,6,Trackless Trolley,7861,Revenue,209
2023,6,Trolley,43548,APC,210
2023,7,Bus,297469,APC,211
2023,7,CCT,2921,Revenue,212
2023,7,Heavy Rail,129900,Revenue,213
2023,7,Regional Rail,61204,Revenue,214
2023,7,Trackless Trolley,7495,Revenue,215
2023,7,Trolley,40544,APC,216
2023,8,Bus,307127,APC,217
2023,8,CCT,2972,Revenue,218
2023,8,Heavy Rail,141078,Revenue,219
2023,8,Regional Rail,60123,Revenue,220
2023,8,Trackless Trolley,7870,Revenue,221
2023,8,Trolley,44092,APC,222
2023,9,Bus,367249,APC,223
2023,9,CCT,3044,Revenue,224
2023,9,Heavy Rail,181826,Revenue,225
2023,9,Regional Rail,70733,Revenue,226
2023,9,Trackless Trolley,9340,Revenue,227
2023,9,Trolley,50049,APC,228
2021,5,Regional Rail,25380,Revenue,229
2021,5,Trackless Trolley,7369,Revenue,230
2021,5,Trolley,28242,Revenue_Estimate,231
2021,6,Bus,222345,APC,232
2021,6,CCT,1564,Revenue,233
2021,6,Heavy Rail,112267,Revenue,234
2021,6,Regional Rail,28832,Revenue,235
2021,6,Trackless Trolley,6930,Revenue,236
2021,6,Trolley,30826,Revenue_Estimate,237
2021,7,Bus,232352,APC,238
2021,7,CCT,1736,Revenue,239
2021,7,Heavy Rail,115614,Revenue,240
2021,7,Regional Rail,32582,Revenue,241
2021,7,Trackless Trolley,7408,Revenue,242
2021,7,Trolley,28434,Revenue_Estimate,243
2021,8,Bus,238176,APC,244
2021,8,CCT,2478,Revenue,245
2021,8,Heavy Rail,115936,Revenue,246
2021,8,Regional Rail,33513,Revenue,247
2021,8,Trackless Trolley,7225,Revenue,248
2021,8,Trolley,30921,Revenue_Estimate,249
2021,9,Bus,291653,APC,250
2021,9,CCT,2144,Revenue,251
2021,9,Heavy Rail,151160,Revenue,252
2021,9,Regional Rail,42560,Revenue,253
2021,9,Trackless Trolley,9282,Revenue,254
2021,9,Trolley,37844,Revenue_Estimate,255
2021,10,Bus,302979,APC,256
2021,10,CCT,2236,Revenue,257
2021,10,Heavy Rail,157350,Revenue,258
2021,10,Regional Rail,53831,Revenue,259
2021,10,Trackless Trolley,9572,Revenue,260
2021,10,Trolley,37036,Revenue_Estimate,261
2021,11,Bus,293035,APC,262
2021,11,CCT,2380,Revenue,263
2021,11,Heavy Rail,150727,Revenue,264
2021,11,Regional Rail,52291,Revenue,265
2021,11,Trackless Trolley,9733,Revenue,266
2021,11,Trolley,35881,Revenue_Estimate,267
2021,12,Bus,272915,APC,268
2021,12,CCT,2351,Revenue,269
2021,12,Heavy Rail,142023,Revenue,270
2021,12,Regional Rail,47061,Revenue,271
2021,12,Trackless Trolley,9010,Revenue,272
2021,12,Trolley,34169,Revenue_Estimate,273
2022,1,Bus,243951,APC,274
2022,1,CCT,2019,Revenue,275
2022,1,Heavy Rail,115382,Revenue,276
2022,1,Regional Rail,32407,Revenue,277
2022,1,Trackless Trolley,7476,Revenue,278
2022,1,Trolley,30631,Revenue_Estimate,279
2022,2,Bus,292800,APC,280
2022,2,CCT,2309,Revenue,281
2022,2,Heavy Rail,142654,Revenue,282
2022,2,Regional Rail,48846,Revenue,283
2022,2,Trackless Trolley,8852,Revenue,284
2022,2,Trolley,40565,Revenue_Estimate,285
2022,3,Bus,303607,APC,286
2022,3,CCT,2564,Revenue,287
2022,3,Heavy Rail,145909,Revenue,288
