block_group,hhld_nocar,hhld_single_mother,hhld_total,hhld_total_w_chld,pop_asiapacific,pop_black,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,pop_total,pop_white,workers_all,workers_essential
250056507002,193,74,447,150,0,29,612,0,26,413,1182,515,523,301
250056508001,94,40,293,96,0,68,292,0,99,128,839,380,417,241
250056508002,149,67,465,105,0,13,226,0,96,373,796,461,345,200
250056508003,101,99,315,163,0,58,433,0,1,344,984,492,417,248
250056508004,137,90,427,234,0,24,228,0,0,309,1004,752,419,257
250056509001,74,155,336,181,41,245,271,0,26,187,815,232,360,205
250056509002,105,97,476,189,0,37,524,0,206,163,1307,540,573,322
250056509003,71,109,321,196,0,102,496,0,116,539,869,155,444,268
250056510011,170,67,1223,245,106,99,198,2,173,511,2948,2370,1446,812
250056510021,85,46,859,188,59,109,192,0,98,122,2146,1688,1054,580
250056510022,64,155,647,334,83,131,730,0,125,514,1840,771,939,529
250056511001,206,59,533,66,11,31,591,0,82,318,1002,287,455,266
250056511002,200,186,518,267,65,250,676,0,152,403,1676,533,539,330
250056511003,126,56,327,106,0,126,54,0,38,67,916,698,408,229
250056511004,115,52,297,72,0,35,35,0,30,107,636,536,395,229
250056512001,91,95,296,168,0,19,667,0,52,346,906,168,290,165
250056512002,165,41,532,105,63,83,425,22,128,362,1391,670,563,315
250056513001,171,48,438,103,48,123,158,0,86,230,907,492,522,298
250056513002,173,56,441,99,14,163,173,0,217,340,1075,508,508,299
250056514001,100,58,436,98,0,32,212,0,205,221,1176,727,546,325
250056514002,84,11,365,117,0,33,192,0,361,264,931,345,349,200
250056514003,71,89,310,103,6,81,96,0,12,118,641,446,342,203
250056514004,43,18,187,38,0,27,112,9,85,162,372,139,317,197
250056515001,78,0,356,6,0,75,0,0,53,36,547,419,473,272
250056515002,52,7,237,65,0,32,77,0,308,95,679,262,321,190
250056515003,52,63,236,79,0,28,164,0,129,0,576,255,285,159
250056515004,85,84,385,245,173,76,410,12,229,251,1336,436,506,307
250056516001,28,52,243,97,0,142,302,0,34,141,589,111,443,260
250056516002,51,52,432,136,141,63,147,0,315,82,1172,506,553,317
250056516003,52,21,444,48,0,185,157,0,5,88,978,631,526,297
250056516004,49,68,420,182,64,28,282,0,325,200,1214,515,615,350
250056517001,136,141,447,164,0,116,308,0,409,318,970,137,417,257
250056517002,175,49,578,63,7,431,313,0,256,141,1525,518,559,326
250056518001,506,18,893,61,101,112,149,0,121,682,1368,885,437,245
250056518002,158,39,280,43,0,12,143,0,21,222,483,307,319,183
250056519001,118,23,270,32,0,34,111,0,211,125,491,135,266,159
250056519002,229,95,522,172,4,178,282,0,459,373,1252,329,527,318
250056520001,65,75,322,75,0,62,125,0,32,293,684,465,297,158
250056520002,76,21,378,118,0,190,130,0,253,129,906,333,413,247
250056520003,92,56,454,144,0,35,157,0,135,267,1112,785,555,316
250056521001,18,78,349,159,0,51,107,0,405,122,994,431,313,175
250056521002,16,35,306,76,0,0,4,0,14,0,774,756,403,225
250056521003,23,28,434,93,0,15,148,0,25,129,999,811,631,359
250056522001,59,15,369,95,12,13,18,0,31,49,939,865,560,307
250056522002,79,54,490,93,0,28,54,0,87,29,1017,848,466,262
250056522003,55,44,344,110,0,1,14,0,107,60,840,718,410,221
250056523001,62,88,442,174,0,30,0,0,68,73,965,867,484,279
250056523002,57,112,409,130,28,160,235,0,133,356,1118,562,493,280
250056523003,54,0,389,63,10,13,12,0,86,132,752,631,413,233
250056524001,107,29,510,134,0,33,91,0,136,152,1132,872,655,376
250056524002,129,92,615,241,9,0,480,0,107,206,1595,999,605,352
250056525001,112,82,491,191,47,112,260,0,318,455,1329,592,550,305
250056525002,121,77,526,205,9,99,436,0,149,414,1427,734,647,380
250056526001,140,114,427,163,0,151,463,0,15,478,1218,589,560,340
250056526002,175,156,532,249,21,11,770,0,139,543,1532,591,651,380
250056527001,88,8,255,81,0,12,319,0,18,116,611,262,383,226
250056527002,179,50,519,88,0,32,299,0,8,258,850,511,421,246
